domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
edsurge.com	3.13.31.214	3.13.31.214	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNSUPPORTED_BROWSER	US	US	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
axs.com	52.93.135.177	54.184.79.217	HTTP	Blockpage	HTTP-TracerouteComplete	456-OTHER	US	US	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
registrarcorp.com	216.6.87.221	104.26.8.40	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.26.12.102	CDN_True	HTTP-Serverside-Blocking
spectre.ai	66.198.70.2	172.67.7.94	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:CLOUDFLARE_Security	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
housedownload.com	37.1.200.4	37.1.205.233	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	NL	NL	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
iqoption.org	66.198.155.18	185.117.134.18	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNCAUGHT:GEO_BLOCKED-Other	PH	ERR	ELSEWHERE	FROM_TEST	CLOSE_TO_SERVER	0	0	185.117.134.17	CDN_False	HTTP-Serverside-Blocking
dnspark.net	69.167.128.153	72.52.178.23	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
mivaldi.com	66.198.70.2	104.27.162.208	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
futureblog2338.com	162.144.240.11	67.20.64.35	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER: Incapsula incident	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
redstation.com	130.180.202.11	62.233.121.75	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	GB	GB	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	CDN_False	HTTP-Serverside-Blocking
nzxt.com	150.222.242.179	35.164.133.186	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
omio.com	66.198.70.2	104.18.14.166	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
careerone.com.au	66.198.70.2	172.67.7.122	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
