domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
fatjokes.in	182.50.158.14	203.124.103.1	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	SG	SG	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_False	HTTP-Serverside-Blocking
stylight.com	52.93.28.146	52.2.0.177	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
prada.com	23.203.153.135	23.12.147.82	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	2	1	23.12.147.82	CDN_True	HTTP-Serverside-Blocking
madcheddar.com	66.198.70.2	104.20.45.187	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
foodpanda.com.bd	66.198.70.2	104.18.11.10	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
clipwatching.com	216.6.87.42	104.26.5.64	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.26.12.102	CDN_True	HTTP-Serverside-Blocking
property24.com.ng	196.22.222.2	80.88.11.59	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER	ZA	ERR	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	CDN_False	HTTP-Serverside-Blocking
rgdoi.net	216.187.113.176	209.15.209.83	HTTP	Blockpage	HTTP-TracerouteComplete	429-OTHER	US	CA	ELSEWHERE	FROM_TEST	CLOSE_TO_SERVER	0	1	209.15.209.83	CDN_False	HTTP-Serverside-Blocking
search-hub.co	66.198.70.2	104.28.2.50	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
office365.cm	103.224.213.253	103.224.182.246	HTTP	Blockpage	HTTP-TracerouteComplete	200-Empty-page	AU	AU	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
movieeater.site	66.198.70.2	104.18.33.62	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
skybet.com	63.243.128.25	23.66.223.131	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	1	1	23.66.223.131	CDN_True	HTTP-Serverside-Blocking
wi-tribe.ph	209.59.157.243	72.52.179.175	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
downloadly.ir	85.132.90.162	185.120.222.190	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	AZ	ERR	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	6	1	N/A	CDN_False	HTTP-Serverside-Blocking
aleflab.biz	62.149.185.28	62.149.128.72	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	IT	IT	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	89.46.109.43	CDN_False	HTTP-Serverside-Blocking
dailyqudrat.pk	66.198.70.2	104.18.32.173	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
cdn-goeuro.com	66.198.70.2	104.22.39.143	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
menulog.co.nz	199.245.16.18	45.60.63.17	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNCAUGHT: Incapsula incident	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	45.60.151.21	CDN_True	HTTP-Serverside-Blocking
nta.org.pk	66.198.70.2	104.24.104.192	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:CLOUDFLARE_Security	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
dizist.pw	66.198.70.2	172.67.199.45	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
lufthansa.com	5.23.30.17	67.207.75.188	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	ERR	US	ERR	FROM_TEST	CLOSE_TO_SERVER	0	0	67.207.75.188	CDN_True	HTTP-Serverside-Blocking
ictsystems.com.pk	162.241.144.61	192.185.143.10	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
octaglobal.com	172.253.65.85	23.251.139.94	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	8	1	23.251.139.94	CDN_True	HTTP-Serverside-Blocking
myeventarticle.com	209.85.244.65	216.239.34.21	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	34.120.10.192	CDN_True	HTTP-Serverside-Blocking
awehobrasp.live	91.121.215.119	51.89.187.136	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	FR	GB	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	4	1	N/A	CDN_False	HTTP-Serverside-Blocking
faridagupta.com	52.95.67.178	13.126.66.12	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	5	1	3.6.118.31	CDN_True	HTTP-Serverside-Blocking
controller.com	66.198.70.2	104.16.151.51	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
pagesdor.be	90.182.215.22	90.182.206.241	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	CZ	CZ	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	1	1	N/A	CDN_False	HTTP-Serverside-Blocking
ecp.gov.pk	23.81.71.129	182.176.19.106	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	US	PK	ELSEWHERE	FROM_TEST	FAR_FROM_SERVER	0	5	185.193.30.0	CDN_False	HTTP-Censorship
paisaandtech.com	66.198.70.2	172.67.190.25	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
snapwi.re	150.222.242.179	34.210.209.234	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
webzaim.su	37.140.193.89	193.124.200.228	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	RU	RU	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
thewpclub.net	66.198.70.2	172.67.217.250	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
wine-searcher.com	80.169.215.100	213.86.174.36	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	GB	GB	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
abebooks.com	52.93.28.180	52.45.214.188	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	5	1	N/A	CDN_True	HTTP-Serverside-Blocking
brainly.com	66.198.70.2	104.17.73.91	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
superpay.me	38.122.244.198	8.9.4.97	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	3	1	N/A	CDN_False	HTTP-Serverside-Blocking
tradeford.com	66.198.70.2	172.67.130.88	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
endomondo.com	52.93.128.214	63.35.242.36	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
whirlpool.net.au	66.198.70.2	172.67.31.247	HTTP	Blockpage	HTTP-TracerouteComplete	402-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
paddypower.com	66.198.70.2	104.18.3.141	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
octacdn.com	66.198.70.2	104.28.2.166	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
