domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
trackedweb.net	54.239.4.85	143.204.201.100	HTTP	Blockpage	HTTP-TracerouteComplete	403-AMAZON-CLOUDFRONT	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	5	1	N/A	CDN_True	HTTP-Serverside-Blocking
amateurscrush.com	221.120.200.3	104.27.135.52	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	CLOSE_TO_SERVER	0	1	104.27.145.211	CDN_True	HTTP-Serverside-Blocking
megatube.xxx	110.93.252.198	172.64.197.3	HTTP	Blockpage	HTTP-RST	520-OTHER	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	2	104.27.140.115	CDN_True	HTTP-Censorship
schoolofsquirt.com	203.135.5.69	194.1.147.17	HTTP	Blockpage	HTTP-RST	N/A	PK	GB	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	3	167.86.100.201	CDN_False	HTTP-Censorship
letmejerk.com	221.120.200.3	172.67.68.168	HTTP	Blockpage	HTTP-TracerouteComplete	525-OTHER	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	CLOSE_TO_SERVER	0	1	104.27.145.211	CDN_True	HTTP-Serverside-Blocking
hotdesigirlsfuck.com	221.120.200.3	172.67.166.173	HTTP	Blockpage	HTTP-TracerouteComplete	520-OTHER	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	CLOSE_TO_SERVER	0	1	104.27.145.211	CDN_True	HTTP-Serverside-Blocking
titan.co.in	62.67.23.222	104.125.17.108	HTTP	Blockpage	HTTP-TracerouteComplete	403-AKAMAI	GB	US	ELSEWHERE	FROM_TEST	CLOSE_TO_SERVER	1	1	2.16.218.18	CDN_True	HTTP-Serverside-Blocking
de-sexy-tube.ru	110.93.252.190	178.62.235.237	HTTP	Blockpage	HTTP-RST	N/A	PK	NL	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	3	192.230.83.244	CDN_False	HTTP-Censorship
nucleearrivearly.pro	150.222.115.59	13.227.130.82	HTTP	Blockpage	HTTP-TracerouteComplete	504-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	4	1	N/A	CDN_True	HTTP-Serverside-Blocking
hqtube.xxx	119.63.136.181	162.254.188.144	HTTP	RST	HTTP-PacketDrop	N/A	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	4	93.93.51.223	CDN_False	HTTP-Censorship
